,Index,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
0,1672632,A16T699EUPQA76,B00FPUN57K,R. Adsit,"[1, 1]","I got a bad copy (its DVD_R) returned it, got another bad copy!Same missing shows on two disks??But I really like what I did see! so hope they fix the problem soon...",3.0,"good show, bad copy",1393027200,"02 22, 2014"
1,1672641,A11977Q3OXQYHD,B00FPVGWY2,"Chuck ""Chuck""","[0, 0]",not a favorite,3.0,I did not love it,1405987200,"07 22, 2014"
2,1672997,A3JAS1JIZEN6WX,B00FRILRL6,Craig Neading,"[0, 1]",The trailer was better than the movie. The movie was slow and very stupid at times. It was just a waste of time.,3.0,Boreing,1388102400,"12 27, 2013"
3,1673068,A2B9R6L5CNL4UV,B00FRILRL6,John,"[2, 3]","This wasn't a hard movie to watch, but it wasn't a great movie to watch. Slightly funny, slightly stupid and definitely violent. It's not a movie I'll watch again (even when it hits TV), but I don't feel like I wasted my time.",3.0,"Not bad, not DeNiro great",1389139200,"01 8, 2014"
4,1673122,A32I8HH5UVBA66,B00FRILRL6,Movie Addict,"[0, 1]","This movie is about Robert De Niro trying to leave &#34;the mob.&#34; It's a good movie, but not as funny as &#34;promoted.&#34; (At least I didn't find it so.) The plot is weak; rather disjointed. Because it starred Robert De Niro, I thought it would be better; it was not all that great of acting on De Niro's part.",3.0,The Family,1388966400,"01 6, 2014"
5,1673301,AAM5BCE9FZVAJ,B00FRQ0HOQ,"R. Flusche ""Walking Pine Tree""","[0, 0]","Boring.  The first season was great with the aftermath thing with Jack the Ripper stopping, but the second season has lost it's novelty, and the righteous copper not willing to play politics is getting boring.  I whish they would bring in some fictious Ripper killings or something to make it exciting.",3.0,Has lost it's novelty,1400803200,"05 23, 2014"
6,1673359,ARA105UMQJR1E,B00FRY70K2,"Robert Locicero ""Tech Head""","[0, 0]","Always enjoy disaster films, however, this movie is a classic B film with a weak plot.  A very good cast, however, the special effects are not the best.",3.0,Average Film,1394668800,"03 13, 2014"
7,1673691,A15ZVKJYE78JI4,B00FXWAZW8,Jasmine,"[1, 1]","It's a sad storyline, achieved well, just hard to watch.  Very interesting, but dark.  Pornography.  Prostitutes.  Abuse.  Losing control.  Some of its themes hit pretty close to home, with any addiction even chocolate/food funnily enough.  There were some positives, but it is so sad how quickly us humans resort to our addictions the second life gets a little hard.",3.0,"""Laugh Out Loud""?  Not quite :)",1391644800,"02 6, 2014"
8,1673744,A1PHCJYRF9G83L,B00FYV7W9W,Jimmy,"[0, 2]",Not all that great. I watched this movie a week ago and don't even remember it. Nothing special at all.,3.0,Ehhh...,1396828800,"04 7, 2014"
9,1673749,A2R6BGGIGE3F95,B00FYV7W9W,John W. Lawrence,"[0, 0]",Average horror with a twist.,3.0,Three Stars,1404259200,"07 2, 2014"
10,1673812,AL1PFXWR2XJ6Q,B00FZ4KR4U,B. B. Spanier,"[0, 0]","Shallow on relationship difficulties, especially marriages and ex-marriages (pathetic), snotty kids.  And what's with the innuendos about lesbians?  Can't say I'd recommend it, except to see beautiful Gandolfino.  And Dreyfus in a complex role cf. her IDIOTIC work in Veep (worst thing I've seen on TV).",3.0,"Excellent acting, but shallow story",1390867200,"01 28, 2014"
